##### fcrypt -d -n 2..3 words/city-jp.txt
##### 53 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
AKITA+KYOTO=SENDAI (45674+58272=103946)
HAKONE+SAGA+SENDAI=NAGANO (381469+2808+296587=680864)
KAMAKURA+KOCHI+MORIOKA=KUMAMOTO (51215431+59607+2937951=54212989)
KAMAKURA+KUMAMOTO+MITO=HIROSHIMA (64746384+63747595+7295=128501274)
KAMAKURA+MORIOKA+NAGANO=NAGASAKI (13931573+9470413+236324=23638310)
KAMAKURA+NIKKO+TOTTORI=KUMAMOTO (32623702+58339+4944908=37626949)
KAMAKURA+OITA+TOTTORI=WAKAYAMA (13631083+4793+9499487=23135363)
KAMAKURA+OKAYAMA+TOKYO=KUMAMOTO (90109720+6905010+86956=97101686)
KANAZAWA+KUMAMOTO+KYOTO=WAKAYAMA (36461676+39868505+32505=76362686)
KANAZAWA+KYOTO+TOKYO=KUMAMOTO (72926242+75818+18758=73020818)
KOBE+KYOTO+NIKKO=TOYAMA (4285+40212+76442=120939)
KOBE+KYOTO+TOYAMA=MATSUE (4817+40858+580262=625937)
KOBE+MATSUE+TSU=TOYAMA (8034+697214+721=705969)
KOBE+NAGANO+NAGOYA=TOYAMA (1496+273724+273487=548707)
KOBE+NAGANO+TOKYO=TOYAMA (6283+470742+52692=529717)
KOBE+NAGOYA+TOKYO=HAKONE (5340+176387+93583=275310)
KOBE+NIKKO+SENDAI=HAKONE (9863+72998+437012=519873)
KOBE+OKAYAMA+TOYAMA=TOTTORI (8145+1896979+216979=2122103)
KOBE+OSAKA+SENDAI=NAGANO (4751+78040+819306=902097)
KOBE+OSAKA+TOKYO=KYOTO (8439+47181+24804=80424)
KOBE+OSAKA+TOYAMA=MATSUE (8461+45080+249030=302571)
KOBE+OTSU+TSU=KYOTO (1862+8493+493=10848)
KOBE+SAGA+SENDAI=NAGANO (2719+5040+596308=604067)
KOCHI+KUMAMOTO+TOTTORI=KAMAKURA (29134+20575969+6966984=27572087)
KOCHI+KYOTO+NAHA=HAKONE (78410+76898+2515=157823)
KOCHI+KYOTO+NAHA=NAGOYA (72438+76292+1535=150265)
KOCHI+KYOTO+OITA=NAGOYA (96534+98676+6470=201680)
KOCHI+KYOTO+TOKYO=HAKONE (87120+83797+97837=268754)
KOCHI+KYOTO+TOKYO=NAGANO (56724+50686+86506=193916)
KOCHI+KYOTO+TOKYO=NAGOYA (87156+84737+37847=209740)
KOCHI+MITO+NAHA=HAKONE (95312+8245+6010=109567)
KOCHI+MITO+NIKKO=TOKYO (74286+3694+16774=94754)
KOCHI+MITO+NIKKO=TOYAMA (34528+7814+98334=140676)
KOCHI+MITO+OSAKA=TOYAMA (94376+8614+42090=145080)
KOCHI+NAGANO+NAGOYA=HAKONE (85796+421245+421502=928543)
KOCHI+NAGANO+NAGOYA=OKAYAMA (31859+670761+670127=1372747)
KOCHI+NAGANO+NARA=HAKONE (94371+658564+6525=759460)
KOCHI+NAHA+OSAKA=NAGANO (57683+1282+70252=129217)
KOCHI+NIKKO+OITA=TOKYO (73286+16773+3694=93753)
KOCHI+NIKKO+OSAKA=AKITA (52368+18552+24959=95879)
KOCHI+NIKKO+SAGA=NAGOYA (84576+16884+2030=103490)
KOCHI+NIKKO+TOKYO=HAKONE (63019+29663+83643=176325)
KOCHI+OITA+OSAKA=HAKONE (57618+7823+70353=135794)
KOCHI+OITA+TOKYO=HAKONE (72014+2463+62782=137259)
KOCHI+OITA+TOKYO=NAGOYA (57803+7396+97547=162746)
KOCHI+OKAYAMA+WAKAYAMA=YOKOHAMA (87041+7893959+29893959=37874959)
KOCHI+OSAKA+SAGA=NAGANO (47693+75242+5282=128217)
KOCHI+OSAKA+TOKYO=CHIBA (12758+20919+42162=75839)
KOCHI+OSAKA+TOKYO=TOYAMA (86094+62787+16856=165737)
KOCHI+OSAKA+ZUSHI=NIKKO (12398+20616+45098=78112)
KOCHI+TOKYO+TOYAMA=AOMORI (32016+72342+724898=829256)
KOFU+KYOTO+NIKKO=TOYAMA (4285+40212+76442=120939)
KOFU+KYOTO+TOKYO=HAKONE (6249+67282+82672=156203)
KOFU+KYOTO+TSU=MATSUE (9257+94232+387=103876)
KOFU+MATSUE+OSAKA=TOYAMA (5106+293864+18959=317929)
KOFU+NAGANO+NAGOYA=TOYAMA (1496+273724+273487=548707)
KOFU+NAGANO+TOKYO=TOYAMA (6283+470742+52692=529717)
KOFU+NAGANO+TOTTORI=FUKUOKA (2150+873781+4144196=5020127)
KOFU+OKAYAMA+TOYAMA=TOTTORI (8145+1896979+216979=2122103)
KOFU+OSAKA+TOKYO=KYOTO (8439+47181+24804=80424)
KOFU+OSAKA+TOYAMA=MATSUE (1820+83717+589767=675304)
KOFU+SAPPORO+TOTTORI=FUKUOKA (5490+7633484+1411482=9050456)
KOFU+TOKYO+TOYAMA=MATSUE (4352+73493+739181=817026)
KUMAMOTO+KYOTO+MATSUE=KAMAKURA (25969383+24383+968750=26962516)
KUMAMOTO+KYOTO+MORIOKA=MIYAZAKI (27393646+20646+3681629=31095921)
KUMAMOTO+MATSUE+MORIOKA=KAMAKURA (51797232+793618+7204259=59795109)
KUMAMOTO+MATSUE+SAPPORO=KAMAKURA (30727989+728104+1266959=32723052)
KUMAMOTO+MATSUE+TOKYO=KAMAKURA (31929767+926018+67357=32923142)
KUMAMOTO+MORIOKA+OITA=YAMAGATA (53717949+7982951+9241=61710141)
KUMAMOTO+OKAYAMA+TSU=MIYAZAKI (26303818+8205030+176=34509024)
KUMAMOTO+OSAKA+OTSU=KANAZAWA (72939818+86373+8162=73034353)
KUMAMOTO+TOKUSHIMA+TSU=TAKAMATSU (19767424+241908576+209=261676209)
KYOTO+MITO+NAGOYA=TOYAMA (35080+1480+769056=805616)
KYOTO+MITO+NIKKO=HAKONE (60959+2359+83669=146987)
KYOTO+MITO+OITA=NAGOYA (92575+8475+5470=106520)
KYOTO+MITO+TOKYO=FUKUI (28757+4157+57287=90201)
KYOTO+MITO+TSU=TOKYO (14323+8523+297=23143)
KYOTO+NAGANO+NAGOYA=FUKUOKA (57020+698960+698079=1454059)
KYOTO+NAGANO+OTSU=TOYAMA (31262+587852+2694=621808)
KYOTO+NAGANO+TOKYO=AOMORI (50676+342436+76506=469618)
KYOTO+NAGOYA+NAHA=HAKONE (98707+426782+4252=529741)
KYOTO+NAGOYA+TOYAMA=HAKONE (78232+160286+328696=567214)
KYOTO+NARA+TOKYO=HAKONE (68454+3292+54684=126430)
KYOTO+NIKKO+OITA=AOMORI (48232+75442+2531=126205)
KYOTO+NIKKO+OTSU=TOYAMA (75616+83776+6102=165494)
KYOTO+NIKKO+TOKYO=NAGANO (30575+18335+75305=124215)
KYOTO+NIKKO+TOKYO=SENDAI (91636+78996+36916=207548)
KYOTO+NIKKO+TOYAMA=AOMORI (34252+70332+524696=629280)
KYOTO+NIKKO+TSU=TOYAMA (56212+70552+134=126898)
KYOTO+ODAWARA+OITA=OKAYAMA (91676+6843454+6274=6941404)
KYOTO+ODAWARA+WAKAYAMA=KAMAKURA (85969+9417101+71815131=81318201)
KYOTO+OITA+OKAYAMA=ODAWARA (87626+6324+6847454=6941404)
KYOTO+OITA+OSAKA=MATSUE (68575+5472+53262=127309)
KYOTO+OITA+OSAKA=NAGOYA (34858+8752+86232=129842)
KYOTO+OITA+TOKYO=MATSUE (80636+6532+36806=123974)
KYOTO+OITA+TSU=NAGOYA (98676+6270+734=105680)
KYOTO+OKAYAMA+TOTTORI=MORIOKA (91434+4951585+3433476=8476495)
KYOTO+OSAKA+SAGA=MATSUE (70696+64373+4383=139452)
KYOTO+OSAKA+SAGA=NAGOYA (72656+68474+8494=149624)
KYOTO+OSAKA+TOKYO=CHIBA (32515+50636+15325=98476)
KYOTO+OSAKA+TOKYO=NAGANO (32656+60434+56326=149416)
KYOTO+OSAKA+TOYAMA=HAKONE (78353+30474+538494=647321)
KYOTO+OSAKA+TSU=MATSUE (90484+47393+875=138752)
KYOTO+OSAKA+TSU=NAGANO (90353+36292+568=127213)
KYOTO+OTSU+TOKYO=HAKONE (25373+3768+73253=102394)
KYOTO+OTSU+TOKYO=NAGOYA (62838+8354+38628=109820)
KYOTO+OTSU+TOYAMA=MATSUE (98525+5240+258636=362401)
KYOTO+OTSU+TSU=NAGANO (94767+7625+625=103017)
KYOTO+SAGA+TOKYO=HAKONE (52383+9464+83523=145370)
KYOTO+SAGA+TOYAMA=NAGANO (98414+6535+148575=253524)
KYOTO+SAGA+TSU=URAWA (74262+5393+658=80313)
KYOTO+TOKYO+URAWA=NAGANO (28636+36286+75494=140416)
KYOTO+TOKYO+ZUSHI=NIKKO (10626+26106+57384=94116)
KYOTO+TOKYO+ZUSHI=OSAKA (47818+18478+20653=86949)
KYOTO+TOTTORI+TOYAMA=SAPPORO (46828+2822809+286171=3155808)
KYOTO+TOYAMA+TSU=MATSUE (60818+180424+137=241379)
MATSUE+MITO+NARA=AOMORI (897625+8470+1939=908034)
MATSUE+MITO+SAPPORO=TOTTORI (769805+7193+8622343=9399341)
MATSUE+NAGOYA+SAGA=TOYAMA (248976+543014+9434=801424)
MATSUE+OITA+TOYAMA=AOMORI (285430+9658+597828=892916)
MATSUE+OKAYAMA+TOYAMA=FUKUOKA (184902+5387818+457818=6030538)
MATSUE+OSAKA+OTSU=TOYAMA (697328+43909+4732=745969)
MATSUE+OTSU+TOKYO=TOYAMA (283970+1397+31461=316828)
MATSUE+OTSU+TOYAMA=AOMORI (197568+2756+720919=921243)
MATSUE+OTSU+TOYAMA=NAGOYA (105346+8534+589010=702890)
MATSUE+OTSU+TSU=SENDAI (493580+7358+358=501296)
MATSUE+SAGA+SENDAI=NIIGATA (739408+4353+481632=1225393)
MATSUE+SAGA+TOYAMA=NAGANO (375246+2797+501737=879780)
MATSUE+TOTTORI+TSU=MORIOKA (948152+8688637+815=9637604)
MATSUE+TOYAMA+TSU=NAGOYA (245037+596424+503=841964)
MITO+MIYAZAKI+TOTTORI=YOKOHAMA (3910+39487859+1011069=40502838)
MITO+MORIOKA+ODAWARA=TOTTORI (2341+2173156+1968676=4144173)
MITO+MORIOKA+OSAKA=FUKUOKA (4869+4928931+97131=5030931)
MITO+NAGANO+NIKKO=TOYAMA (8471+639361+64551=712383)
MITO+NAGANO+SAGA=TOYAMA (6150+487840+9878=503868)
MITO+NAGANO+TOKYO=AOMORI (7341+568651+41201=617193)
MITO+NAGOYA+TOKYO=AOMORI (2173+456305+73903=532381)
MITO+NAGOYA+TOTTORI=MORIOKA (6357+941724+5755703=6703784)
MITO+NIKKO+TOKYO=NAGANO (6285+12335+85395=104015)
MITO+OITA+OSAKA=SENDAI (6529+9523+91383=107435)
MITO+OITA+TOKYO=HAKONE (7893+3890+93543=105326)
MITO+OKAYAMA+TOTTORI=MORIOKA (9327+7051595+2722783=9783705)
MITO+OKAYAMA+TOYAMA=ODAWARA (9618+8327292+187292=8524202)
MITO+OSAKA+OTSU=MATSUE (1869+95020+9654=106543)
MITO+OSAKA+TOKYO=NAGANO (2386+60454+86576=149416)
MITO+OTSU+TSU=OSAKA (8931+1307+307=10545)
MITO+SAPPORO+TOTTORI=NIIGATA (5273+1844303+7377302=9226878)
MITO+TOKYO+TOTTORI=SAPPORO (7159+59849+5955931=6022939)
MIYAZAKI+MORIOKA+TOTTORI=WAKAYAMA (15809075+1465470+3433465=20708010)
MIYAZAKI+NAGASAKI+SAGA=WAKAYAMA (10294980+69593980+3959=79892919)
MORIOKA+NAGANO+OITA=TOTTORI (2541508+986895+5138=3533541)
MORIOKA+NAGANO+SAGA=SAPPORO (4869810+203028+5030=5077868)
MORIOKA+NAGANO+TOKYO=TOTTORI (7240236+965692+82312=8288240)
MORIOKA+NAGOYA+NIKKO=NIIGATA (4380317+572367+50113=5002797)
MORIOKA+NAGOYA+OKAYAMA=YAMAGATA (4598520+603510+5201040=10403070)
MORIOKA+NAGOYA+TOKYO=TOTTORI (6521548+980538+75435=7577521)
MORIOKA+NAGOYA+TOTTORI=OKAYAMA (2584506+967536+1511584=5063626)
MORIOKA+NAHA+YOKOHAMA=MIYAZAKI (9746702+5212+87071292=96823206)
MORIOKA+NARA+TOYAMA=NIIGATA (1493475+2595+840515=2336585)
MORIOKA+NIIGATA+TOTTORI=KAMAKURA (5024016+3449686+8088024=16561726)
MORIOKA+NIIGATA+TOYAMA=YAMAGATA (3928970+5886040+491030=10306040)
MORIOKA+NIKKO+TOTTORI=OKAYAMA (5763749+23447+1711763=7498959)
MORIOKA+OITA+OSAKA=FUKUOKA (2974985+9415+96585=3080985)
MORIOKA+OKAYAMA+TOTTORI=KUMAMOTO (9846821+8217191+5855846=23919858)
MORIOKA+OKAYAMA+TOYAMA=KAMAKURA (7359310+3106070+236070=10701450)
MORIOKA+OSAKA+OTSU=OKAYAMA (8935904+97404+9176=9042484)
MORIOKA+OSAKA+TOKYO=SAPPORO (2914980+93080+69859=3077919)
MORIOKA+OSAKA+TOTTORI=FUKUOKA (1798702+74202+3733798=5606702)
MORIOKA+OSAKA+TOTTORI=SAPPORO (1690653+64353+2622690=4377696)
MORIOKA+OTSU+TOKYO=OKAYAMA (8976903+9421+49059=9035383)
MORIOKA+TOKYO+TOTTORI=FUKUOKA (5604638+16396+1611604=7232638)
MORIOKA+TOKYO+TOYAMA=NIIGATA (5803812+48178+487252=6339242)
MORIOKA+TOTTORI+TSU=FUKUOKA (1608647+3633608+392=5242647)
MORIOKA+TOTTORI+TSU=OKAYAMA (1386370+2322386+254=3709010)
NAGANO+NAGASAKI+NIIGATA=KUMAMOTO (470742+47076753+4330797=51878292)
NAGANO+NAGOYA+NIKKO=SAPPORO (762674+762486+75334=1600494)
NAGANO+NAGOYA+NIKKO=SENDAI (319132+319281+35002=673415)
NAGANO+NAGOYA+ODAWARA=OKAYAMA (148416+148604+6243474=6540494)
NAGANO+NAGOYA+OITA=TOYAMA (368634+368416+4576=741626)
NAGANO+NAGOYA+OKAYAMA=ODAWARA (247426+247654+6345414=6840494)
NAGANO+NAGOYA+OKAYAMA=TOTTORI (742471+742184+1648454=3133109)
NAGANO+NAGOYA+SAGA=SENDAI (297925+297589+6979=602493)
NAGANO+NAGOYA+TOKYO=FUKUOKA (820285+820542+35745=1676572)
NAGANO+NAGOYA+TOKYO=TOYAMA (183810+183078+40970=407858)
NAGANO+NAGOYA+TOYAMA=FUKUOKA (841486+841674+367494=2050654)
NAGANO+NAGOYA+TOYAMA=ODAWARA (492941+492109+710939=1695989)
NAGANO+NAGOYA+TSU=OKAYAMA (702071+702150+839=1405060)
NAGANO+NAHA+NIKKO=SENDAI (824287+8232+86007=918526)
NAGANO+NAHA+TOKYO=TOYAMA (761675+7606+85345=854626)
NAGANO+NARA+NIKKO=SENDAI (824287+8232+86007=918526)
NAGANO+NARA+SAPPORO=OKAYAMA (632365+6373+4399575=5038313)
NAGANO+NARA+TOKYO=TOYAMA (761675+7606+85345=854626)
NAGANO+NIIGATA+NIKKO=FUKUOKA (492940+4772969+47110=5313019)
NAGANO+NIIGATA+NIKKO=OKAYAMA (490945+4660929+46115=5197989)
NAGANO+NIIGATA+OKAYAMA=MORIOKA (476743+4556797+3271787=8305327)
NAGANO+NIIGATA+TOKYO=TOTTORI (431342+4771353+52602=5255297)
NAGANO+NIIGATA+TOTTORI=MORIOKA (107012+1887040+4244238=6238290)
NAGANO+NIIGATA+TSU=TOTTORI (824285+8774292+960=9599537)
NAGANO+NIKKO+OITA=SENDAI (574751+59221+1907=635879)
NAGANO+NIKKO+SENDAI=HAKONE (461649+47229+354067=862945)
NAGANO+NIKKO+TOKYO=AOMORI (796971+73551+41581=912103)
NAGANO+NIKKO+TOTTORI=MORIOKA (896987+85007+3733715=4715709)
NAGANO+NIKKO+TOTTORI=OKAYAMA (294928+23118+7877863=8195909)
NAGANO+NIKKO+URAWA=AOMORI (570751+59661+83727=714139)
NAGANO+OITA+OTSU=SENDAI (186817+7438+7329=201584)
NAGANO+OITA+SAGA=SENDAI (693964+4289+7939=706192)
NAGANO+OTSU+TOKYO=TOYAMA (735372+2869+82102=820343)
NAGANO+SAGA+SENDAI=AOMORI (269624+3696+372160=645480)
NAGANO+SAGA+SENDAI=TOTTORI (867684+5676+538069=1411429)
NAGANO+SAGA+TOYAMA=MATSUE (620269+7202+194282=821753)
NAGANO+SAGA+TOYAMA=SAPPORO (659567+1595+872545=1533707)
NAGANO+TOKYO+TOYAMA=AOMORI (576758+18298+189747=784803)
NAGANO+TOKYO+TSU=TOYAMA (752573+83163+809=836545)
NAGOYA+NAHA+TOKYO=HAKONE (765046+7686+90340=863072)
NAGOYA+NAHA+TOKYO=TOYAMA (381278+3858+42672=427808)
NAGOYA+NAHA+TOYAMA=HAKONE (143954+1484+695474=840912)
NAGOYA+NARA+OKAYAMA=MORIOKA (609420+6010+4802050=5417480)
NAGOYA+NARA+TOKYO=AOMORI (230153+2393+81651=314197)
NAGOYA+NARA+TOKYO=TOYAMA (381278+3858+42672=427808)
NAGOYA+NARA+TOTTORI=MORIOKA (978217+9747+5255243=6243207)
NAGOYA+NARA+URAWA=TOYAMA (651485+6505+90535=748525)
NAGOYA+NIIGATA+NIKKO=OKAYAMA (720842+7330292+73118=8124252)
NAGOYA+NIIGATA+NIKKO=TOTTORI (761396+7551686+75223=8388305)
NAGOYA+NIIGATA+SAGA=OKAYAMA (259365+2889545+7595=3156505)
NAGOYA+ODAWARA+TOTTORI=NIIGATA (927502+5426212+3533518=9887232)
NAGOYA+OITA+TOKYO=AOMORI (346254+2074+72952=421280)
NAGOYA+OITA+TOKYO=FUKUOKA (985248+2378+72642=1060268)
NAGOYA+OITA+TOYAMA=MORIOKA (758325+3465+632515=1394305)
NAGOYA+OKAYAMA+TOKYO=FUKUOKA (325862+8726242+18768=9070872)
NAGOYA+OKAYAMA+YAMAGATA=KANAZAWA (701950+9605040+50401030=60708020)
NAGOYA+OTSU+TOYAMA=MATSUE (180948+9536+594878=785362)
NAGOYA+SAGA+TOKYO=FUKUOKA (968426+7686+54324=1030436)
NAGOYA+SAGA+TOKYO=HAKONE (130853+7303+98658=236814)
NAGOYA+SAGA+TOKYO=TOYAMA (381298+5818+42692=429808)
NAGOYA+TOKYO+TOYAMA=AOMORI (579467+14264+146707=740438)
NAGOYA+TOKYO+TOYAMA=FUKUOKA (385268+92062+926878=1404208)
NAGOYA+TOKYO+TOYAMA=HAKONE (371467+54264+546707=972438)
NAGOYA+TOYAMA+TSU=MATSUE (215971+397161+348=613480)
NAHA+OKAYAMA+TOYAMA=FUKUOKA (5060+2408090+728090=3141240)
NAHA+OKAYAMA+WAKAYAMA=KAMAKURA (4030+9802060+70802060=80608150)
NAHA+OTSU+ZUSHI=NAGANO (1020+5367+97628=104015)
NAHA+SENDAI+TSU=MATSUE (8050+198403+716=207169)
NAHA+WAKAYAMA+YOKOHAMA=KANAZAWA (7505+35854515+49890515=85752535)
NARA+NIIGATA+SENDAI=TOTTORI (3575+3226545+813952=4044072)
NARA+NIKKO+SENDAI=HAKONE (9525+93116+749053=851694)
NARA+NIKKO+URAWA=HAKONE (5202+53994+70262=129458)
NARA+ODAWARA+TOKYO=OKAYAMA (5232+8620232+98748=8724212)
NARA+ODAWARA+URAWA=NIIGATA (7535+6951535+43515=7002585)
NARA+OKAYAMA+TOYAMA=FUKUOKA (5060+2408090+728090=3141240)
NARA+OSAKA+URAWA=HAKONE (6484+35404+98474=140362)
NARA+SENDAI+TOTTORI=ODAWARA (9828+719380+5655620=6384828)
NARA+SENDAI+TSU=MATSUE (8050+198403+716=207169)
NIIGATA+OITA+SENDAI=TOTTORI (5447060+3460+915804=6366324)
NIIGATA+SAGA+SENDAI=TOTTORI (8775090+6050+618207=9399347)
NIKKO+OITA+OSAKA=HAKONE (35009+9524+96404=140937)
NIKKO+OITA+SENDAI=NAGANO (97004+4753+829637=931394)
NIKKO+OITA+TOKYO=SENDAI (46778+8690+98738=154206)
NIKKO+OITA+TOYAMA=HAKONE (81007+7146+472636=560789)
NIKKO+OKAYAMA+TOTTORI=KUMAMOTO (42117+7180898+6766752=13989767)
NIKKO+OKAYAMA+TOTTORI=MORIOKA (67993+3905080+4344317=8317390)
NIKKO+OSAKA+OTSU=HAKONE (42775+59070+5698=107543)
NIKKO+OSAKA+SAGA=HAKONE (95226+68727+8737=172690)
NIKKO+OSAKA+SAGA=NAGANO (16887+79080+9050=105017)
NIKKO+OSAKA+SAGA=SENDAI (84992+21696+1676=108364)
NIKKO+OSAKA+SENDAI=HAKONE (51997+72696+245061=369754)
NIKKO+OSAKA+TOKYO=AKITA (18445+50949+25435=94829)
NIKKO+OSAKA+TSU=SENDAI (87006+61202+319=148527)
NIKKO+OTSU+TSU=MATSUE (97228+8653+653=106534)
NIKKO+SAGA+TOYAMA=NAGOYA (60997+1343+572383=634723)
NIKKO+SAGA+ZUSHI=NAGANO (18334+6202+95678=120214)
NIKKO+TOKYO+TOYAMA=NAGANO (89007+67057+675323=831387)
ODAWARA+OITA+TOTTORI=SAPPORO (2130343+2653+5255246=7388242)
ODAWARA+OKAYAMA+WAKAYAMA=YAMAGATA (4902050+4603010+20603010=30108070)
ODAWARA+OSAKA+TOKYO=SAPPORO (4902080+45030+64374=5011484)
ODAWARA+OTSU+SAPPORO=TOTTORI (2653595+2410+1588292=4244297)
ODAWARA+TOTTORI+URAWA=FUKUOKA (5741494+2522596+39414=8303504)
OITA+OKAYAMA+TOTTORI=SAPPORO (2653+2130343+5255296=7388292)
OITA+OKAYAMA+TOYAMA=MORIOKA (1085+1354525+814525=2170135)
OITA+OSAKA+TOKYO=SENDAI (9724+91464+29659=130847)
OITA+OTSU+SAPPORO=NIIGATA (7019+7153+5988747=6002919)
OITA+SENDAI+TSU=NAGANO (5310+798603+172=804085)
OKAYAMA+OSAKA+TOYAMA=FUKUOKA (1408050+17040+918050=2343140)
OKAYAMA+OSAKA+TOYAMA=NIIGATA (5204030+59020+854030=6117080)
OKAYAMA+OSAKA+WAKAYAMA=KAMAKURA (9604030+98060+50604030=60306120)
OKAYAMA+OTSU+TOTTORI=MORIOKA (1057545+1368+3133192=4192105)
OKAYAMA+OTSU+TOYAMA=SAPPORO (5437323+5869+857323=6300515)
OKAYAMA+OTSU+WAKAYAMA=KAMAKURA (9587818+9602+48587818=58185238)
OKAYAMA+SAGA+TOYAMA=FUKUOKA (2408090+5060+728090=3141240)
OKAYAMA+SAGA+WAKAYAMA=KAMAKURA (9802060+4030+70802060=80608150)
OKAYAMA+TAKAMATSU+TSU=TOKUSHIMA (9183868+481868450+450=491052768)
OKAYAMA+TOKYO+TOTTORI=SAPPORO (2813161+42832+4244259=7100252)
OKAYAMA+TOKYO+TOYAMA=FUKUOKA (4063686+94034+943686=5101406)
OKAYAMA+TOKYO+TOYAMA=SAPPORO (6403090+56436+563090=7022616)
OKAYAMA+TOKYO+TOYAMA=TOTTORI (6835393+76856+765393=7677642)
OKAYAMA+TOTTORI+URAWA=MORIOKA (7045484+1711796+39424=8796704)
OKAYAMA+TOYAMA+WAKAYAMA=MIYAZAKI (6540484+960484+74540484=82041452)
OKAYAMA+TOYAMA+YAMAGATA=KAMAKURA (9403060+593060+30608050=40604170)
OKAYAMA+TOYAMA+YAMAGATA=KANAZAWA (9504020+394020+40208030=50106070)
OSAKA+OTSU+TOKYO=AOMORI (57141+5970+95425=158536)
OSAKA+OTSU+TOKYO=NAGANO (79252+7398+37567=124217)
OSAKA+OTSU+TOYAMA=MATSUE (56171+5368+352141=413680)
OSAKA+OTSU+TSU=NAGOYA (97030+9475+475=106980)
OSAKA+OTSU+TSU=TOKYO (49020+4597+597=54214)
OSAKA+SAGA+SENDAI=HAKONE (91484+1434+156047=248965)
OSAKA+TOKYO+TSU=HAKONE (58343+75465+782=134590)
OSAKA+TOKYO+TSU=NAGANO (80343+58468+507=139318)
OSAKA+TOKYO+ZUSHI=KYOTO (50494+15935+27086=93515)
OSAKA+TOYAMA+TSU=AOMORI (98313+297353+280=395946)
OTSU+SAPPORO+TOTTORI=FUKUOKA (6419+1288606+4644607=5939632)
OTSU+TOYAMA+YOKOHAMA=YAMAGATA (1748+713262+31910262=32625272)
OTSU+TSU+URAWA=NAGANO (8479+479+93060=102018)
OTSU+TSU+ZUSHI=NAGANO (6837+837+97342=105016)
SAGA+TOKYO+TOYAMA=MATSUE (2151+74904+740181=817236)
TOKYO+TOTTORI+TOYAMA=ODAWARA (56396+5655674+569808=6281878)
629 unique-solution puzzles found (403723 puzzles examined)
Total time = 326080 msec.
